Name,EntryPoint,Size(bytes),IsExternal
"fputc",0040b2f0,16,false
"setsid",0040b300,16,false
"tzset",0040b310,16,false
"nvram_get_func",0040b320,16,false
"fgets",0040b330,16,false
"sscanf",0040b340,16,false
"strncpy",0040b350,16,false
"mmap64",0040b360,16,false
"nice",0040b370,16,false
"setuid",0040b380,16,false
"SSL_CTX_use_PrivateKey_file",0040b390,16,false
"SSL_library_init",0040b3a0,16,false
"getppid",0040b3b0,16,false
"chdir",0040b3c0,16,false
"unlink",0040b3d0,16,false
"SSL_CTX_use_certificate_file",0040b3e0,16,false
"closelog",0040b3f0,16,false
"fflush",0040b400,16,false
"memset",0040b410,16,false
"inet_ntoa",0040b420,16,false
"qsort",0040b430,16,false
"perror",0040b440,16,false
"SSL_CTX_set_cipher_list",0040b450,16,false
"flock",0040b460,16,false
"munmap",0040b470,16,false
"SSL_new",0040b480,16,false
"getuid",0040b490,16,false
"SSL_write",0040b4a0,16,false
"fprintf",0040b4b0,16,false
"inet_addr",0040b4c0,16,false
"strcspn",0040b4d0,16,false
"setgroups",0040b4e0,16,false
"syslog",0040b4f0,16,false
"sprintf",0040b500,16,false
"strcasestr",0040b510,16,false
"socket",0040b520,16,false
"SSL_accept",0040b530,16,false
"exit",0040b540,16,false
"fork",0040b550,16,false
"strstr",0040b560,16,false
"open64",0040b570,16,false
"strcmp",0040b580,16,false
"waitpid",0040b590,16,false
"accept",0040b5a0,16,false
"atoi",0040b5b0,16,false
"strpbrk",0040b5c0,16,false
"alarm",0040b5d0,16,false
"strchr",0040b5e0,16,false
"sendfile64",0040b5f0,16,false
"listen",0040b600,16,false
"strdup",0040b610,16,false
"puts",0040b620,16,false
"fscanf",0040b630,16,false
"setgid",0040b640,16,false
"signal",0040b650,16,false
"nvram_set",0040b660,16,false
"pipe",0040b670,16,false
"SSLv23_server_method",0040b680,16,false
"chroot",0040b690,16,false
"strcpy",0040b6a0,16,false
"kill",0040b6b0,16,false
"shutdown",0040b6c0,32,false
"_fini",0040b6e0,84,false
"__deregister_frame_info",00429000,1,false
"alphasort64",00429010,1,false
"_Jv_RegisterClasses",00429014,1,false
"__register_frame_info",00429018,1,false
